Name,Link
"
          Capsules #1 Blue Opaque/Pink Translucent
        ",/collections/capsules/products/capsule-1-blue-opaque-pink-translucent
"
          Capsules #1 Blue Translucent/Pink Translucent
        ",/collections/capsules/products/capsule-1-blue-translucent-pink-translucent
"
          Capsules #1 Blue/Blue
        ",/collections/capsules/products/capsule-1-blue-blue
"
          Capsules #1 Blue/Clear
        ",/collections/capsules/products/capsule-1-blue-clear
"
          Capsules #1 Blue/Powder Blue
        ",/collections/capsules/products/capsule-1-blue-powder-blue
"
          Capsules #1 Blue/White
        ",/collections/capsules/products/capsule-1-blue-white
"
          Capsules #1 Brown/Ivory
        ",/collections/capsules/products/capsule-1-brown-ivory
"
          Capsules #1 Clear/Clear
        ",/collections/capsules/products/capsule-1-clear-clear
"
          Capsules #1 Clear/White
        ",/collections/capsules/products/capsule-1-clear-white
"
          Capsules #1 Dark Green
        ",/collections/capsules/products/capsule-1-dark-green-dark-green
"
          Capsules #1 Green Translucent/Yellow
        ",/collections/capsules/products/capsule-1-green-translucent-yellow
"
          Capsules #1 Green/Orange
        ",/collections/capsules/products/capsule-1-green-orange
"
          Capsules #1 Green/White
        ",/collections/capsules/products/capsule-1-green-white
"
          Capsules #1 Green/Yellow
        ",/collections/capsules/products/capsule-1-green-yellow
"
          Capsules #1 Grey/Pink
        ",/collections/capsules/products/capsule-1-grey-pink
"
          Capsules #1 Ivory/Ivory
        ",/collections/capsules/products/capsule-1-ivory-ivory-butter-colour
"
          Capsules #1 Maroon Translucent/Clear
        ",/collections/capsules/products/capsule-1-maroon-clear
"
          Capsules #1 Mint Green
        ",/collections/capsules/products/capsule-1-mint-green
"
          Capsules #1 Orange/Clear
        ",/collections/capsules/products/capsule-1-orange-clear
"
          Capsules #1 Orange/Orange
        ",/collections/capsules/products/capsule-1-orange-orange
"
          Capsules #1 Pink/Pink
        ",/collections/capsules/products/capsule-1-pink-pink
"
          Capsules #1 Pink/White
        ",/collections/capsules/products/capsule-1-pink-white
"
          Capsules #1 Pink/Yellow
        ",/collections/capsules/products/capsule-1-pink-yellow
"
          5-Hydroxytryptophan (5HTP)
        ",/collections/chemicals/products/5htp
"
          7-Keto DHEA (Micronized)
        ",/collections/chemicals/products/7-keto-dhea-micronized-yam-derived
"
          Acetaminophen Powder USP
        ",/collections/chemicals/products/acetaminophen-powder-usp
"
          Acetone NF
        ",/collections/chemicals/products/acetone-nf
"
          Acetyl-D-Glucosamine (N)
        ",/collections/chemicals/products/acetyl-d-glucosamine-n
"
          Acetyl-L-Carnitine HCL *Limited-time special*
        ",/collections/chemicals/products/acetyl-l-carnitine-hcl
"
          Acetylcysteine USP
        ",/collections/chemicals/products/acetylcysteine-usp
"
          Acidophilus Lactobacillus
        ",/collections/chemicals/products/acidophilus-lactobacillus
"
          Acyclovir USP
        ",/collections/chemicals/products/acyclovir-usp
"
          Almond Oil (Sweet) NF
        ",/collections/chemicals/products/almond-oil-sweet-nf
"
          Alpha Lipoic Acid USP
        ",/collections/chemicals/products/alpha-lipoic-acid
"
          Aluminum Hydroxide Gel Dried Powder USP
        ",/collections/chemicals/products/aluminum-hydroxide-gel-dried-usp
"
          Amantadine HCL USP
        ",/collections/chemicals/products/amantadine-hcl-usp
"
          Amikacin Sulfate USP
        ",/collections/chemicals/products/amikacin-sulfate-usp
"
          Amitriptyline HCL USP
        ",/collections/chemicals/products/amitriptyline-hcl-usp
"
          Amphotericin B USP (*cold pack item*)
        ",/collections/chemicals/products/amphotericin-b-usp
"
          Apomorphine HCL USP
        ",/collections/chemicals/products/apomorphine-hcl-usp
"
          Arginine (L) Base USP
        ",/collections/chemicals/products/arginine-base-usp
"
          Arginine (L) HCL USP
        ",/collections/chemicals/products/arginine-l-hcl-usp
"
          Ascorbic Acid USP
        ",/collections/chemicals/products/ascorbic-acid-usp
"
          Ascorbyl Palmitate FCC (*temperature sensitive*)
        ",/collections/chemicals/products/ascorbyl-palmitate-fcc
"
          Aspartame FCC
        ",/collections/chemicals/products/aspartame-fcc
"
          Aspirin USP
        ",/collections/chemicals/products/aspirin-usp
"
          Atropine Sulfate Monohydrate USP
        ",/collections/chemicals/products/atropine-sulfate-monohydrate-usp
"
          Avicel PH-101 (Microcrystalline Cellulose)
        ",/collections/chemicals/products/avicel-ph-101-microcrystalline-cellulose
"
          Avicel PH-105 (Microcrystalline Cellulose) NF
        ",/collections/chemicals/products/avicel-ph-105-microcrystalline-cellulose-nf
